time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps
18.204,0.3259,0.4047,0.0788,-0.008
18.254,0.3256,0.4047,0.0791,-0.008
18.304,0.3249,0.4047,0.0798,-0.008
18.354,0.3246,0.4047,0.0801,-0.008
18.404,0.3241,0.4047,0.0806,-0.008
18.454,0.3237,0.4047,0.081,-0.008
18.504,0.3236,0.4047,0.0811,-0.008
18.554,0.3229,0.4047,0.0818,-0.008
18.604,0.3228,0.4047,0.0819,-0.008
18.654,0.3219,0.4047,0.0828,-0.008
18.704,0.3215,0.4047,0.0832,-0.008
18.754,0.321,0.4047,0.0837,-0.008
18.804,0.321,0.4047,0.0837,-0.008
18.854,0.3208,0.4047,0.0839,-0.008
18.904,0.3201,0.4047,0.0846,-0.008
18.954,0.32,0.4047,0.0847,-0.008
19.004,0.3197,0.4047,0.085,-0.006
19.054,0.3189,0.4047,0.0858,-0.008
19.104,0.3189,0.4047,0.0858,-0.006
19.154,0.3186,0.4047,0.0861,-0.006
19.204,0.318,0.4047,0.0867,-0.006
19.254,0.3179,0.4047,0.0868,-0.006
19.304,0.3175,0.4047,0.0872,-0.006
19.354,0.3166,0.4047,0.0881,-0.006
19.404,0.3166,0.4047,0.0881,-0.006
19.454,0.3162,0.4047,0.0885,-0.008
19.504,0.3159,0.4047,0.0888,-0.006
19.554,0.3156,0.4047,0.0891,-0.006
19.604,0.3154,0.4047,0.0893,-0.006
19.654,0.3151,0.4047,0.0896,-0.006
19.704,0.3148,0.4047,0.0899,-0.006
19.754,0.3139,0.4047,0.0908,-0.006
19.804,0.3139,0.4047,0.0908,-0.006
19.854,0.3137,0.4047,0.091,-0.006
19.904,0.3134,0.4047,0.0913,-0.006
19.954,0.3132,0.4047,0.0915,-0.006
20.004,0.3132,0.4047,0.0915,-0.004
20.056,0.3125,0.4047,0.0922,-0.006
20.105,0.3119,0.4047,0.0928,-0.006
20.155,0.3118,0.4047,0.0929,-0.004
20.205,0.3113,0.4047,0.0934,-0.004
20.255,0.3112,0.4047,0.0935,-0.004
20.305,0.3107,0.4047,0.094,-0.006
20.355,0.3106,0.4047,0.0941,-0.004
20.405,0.3099,0.4047,0.0948,-0.01
20.455,0.3097,0.4047,0.095,-0.01
20.505,0.3093,0.4047,0.0954,-0.008
20.555,0.3091,0.4047,0.0956,-0.004
20.605,0.3091,0.4047,0.0956,-0.004
20.655,0.3089,0.4047,0.0958,-0.004
20.705,0.3087,0.4047,0.096,-0.004
20.755,0.3083,0.4047,0.0964,-0.004
20.805,0.3082,0.4047,0.0965,-0.004
20.855,0.3076,0.4047,0.0971,-0.004
20.905,0.3076,0.4047,0.0971,-0.004
20.955,0.3069,0.4047,0.0978,-0.004
21.005,0.3068,0.4047,0.0979,-0.004
21.055,0.3068,0.4047,0.0979,-0.004
21.105,0.3066,0.4047,0.0981,-0.004
21.155,0.3063,0.4047,0.0984,-0.004
21.205,0.3061,0.4047,0.0986,-0.004
21.255,0.3059,0.4047,0.0988,-0.004
21.305,0.3057,0.4047,0.099,-0.004
21.355,0.3057,0.4047,0.099,-0.004
