time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps
16.506,0.6825,0.7,0.0175,-0.012
16.556,0.682,0.7,0.018,-0.01
16.606,0.6818,0.7,0.0182,-0.01
16.656,0.6815,0.7,0.0185,-0.01
16.706,0.6812,0.7,0.0188,-0.008
16.756,0.6811,0.7,0.0189,-0.006
16.806,0.681,0.7,0.019,-0.006
16.856,0.6808,0.7,0.0192,-0.004
16.906,0.6807,0.7,0.0193,-0.004
16.956,0.6805,0.7,0.0195,-0.004
17.006,0.6805,0.7,0.0195,-0.004
17.056,0.6799,0.7,0.0201,-0.004
17.106,0.6789,0.7,0.0211,-0.004
17.156,0.6786,0.7,0.0214,-0.004
17.206,0.6783,0.7,0.0217,-0.004
17.256,0.6777,0.7,0.0223,-0.006
17.306,0.6767,0.7,0.0233,-0.006
17.356,0.6761,0.7,0.0239,-0.012
17.406,0.6748,0.7,0.0252,-0.012
17.456,0.6744,0.7,0.0256,-0.012
17.506,0.6733,0.7,0.0267,-0.012
17.556,0.6723,0.7,0.0277,-0.012
17.606,0.6717,0.7,0.0283,-0.012
17.656,0.6707,0.7,0.0293,-0.02
17.706,0.6697,0.7,0.0303,-0.02
17.756,0.6683,0.7,0.0317,-0.02
17.806,0.6676,0.7,0.0324,-0.02
17.856,0.6656,0.7,0.0344,-0.02
17.906,0.6651,0.7,0.0349,-0.02
17.956,0.6642,0.7,0.0358,-0.02
18.006,0.6632,0.7,0.0368,-0.02
18.058,0.662,0.7,0.038,-0.02
18.107,0.6607,0.7,0.0393,-0.02
18.157,0.6593,0.7,0.0407,-0.0231
18.207,0.6582,0.7,0.0418,-0.022
18.257,0.6565,0.7,0.0435,-0.0231
18.307,0.6564,0.7,0.0436,-0.022
18.357,0.6553,0.7,0.0447,-0.022
18.407,0.6541,0.7,0.0459,-0.0231
18.457,0.6536,0.7,0.0464,-0.0231
18.507,0.6525,0.7,0.0475,-0.022
18.557,0.6522,0.7,0.0478,-0.022
18.607,0.6518,0.7,0.0482,-0.022
18.657,0.6518,0.7,0.0482,-0.01
18.707,0.6518,0.7,0.0482,-0.008
18.757,0.6518,0.7,0.0482,-0.008
18.807,0.6518,0.7,0.0482,-0.006
18.857,0.6518,0.7,0.0482,0.0
18.907,0.6518,0.7,0.0482,0.0
18.957,0.6518,0.7,0.0482,0.0
19.007,0.652,0.7,0.048,0.0
19.057,0.6523,0.7,0.0477,0.0
19.107,0.6528,0.7,0.0472,0.0
19.157,0.6539,0.7,0.0461,0.0
19.207,0.6549,0.7,0.0451,0.004
19.257,0.6551,0.7,0.0449,0.004
19.307,0.6562,0.7,0.0438,0.006
19.357,0.6572,0.7,0.0428,0.01
19.407,0.6585,0.7,0.0415,0.02
19.457,0.6599,0.7,0.0401,0.02
19.507,0.6614,0.7,0.0386,0.022
19.557,0.6628,0.7,0.0372,0.022
19.607,0.6637,0.7,0.0363,0.022
19.657,0.6654,0.7,0.0346,0.026
19.707,0.6663,0.7,0.0337,0.026
19.757,0.6681,0.7,0.0319,0.028
19.807,0.6697,0.7,0.0303,0.028
19.857,0.6716,0.7,0.0284,0.03
19.907,0.673,0.7,0.027,0.03
19.957,0.6742,0.7,0.0258,0.028
20.007,0.6753,0.7,0.0247,0.028
20.059,0.6765,0.7,0.0235,0.028
20.108,0.6778,0.7,0.0222,0.0265
20.158,0.6788,0.7,0.0212,0.0265
20.208,0.6803,0.7,0.0197,0.0265
20.258,0.6812,0.7,0.0188,0.024
20.308,0.6818,0.7,0.0182,0.0231
20.358,0.6825,0.7,0.0175,0.022
20.408,0.6828,0.7,0.0172,0.02
20.458,0.6828,0.7,0.0172,0.018
20.508,0.6828,0.7,0.0172,0.014
20.558,0.6828,0.7,0.0172,0.012
20.608,0.6828,0.7,0.0172,0.006
20.658,0.6828,0.7,0.0172,0.0
20.708,0.6828,0.7,0.0172,0.0
20.758,0.6828,0.7,0.0172,0.0
20.808,0.6822,0.7,0.0178,0.0
20.858,0.6816,0.7,0.0184,0.0
20.908,0.6809,0.7,0.0191,0.0
20.958,0.6802,0.7,0.0198,0.0
21.008,0.6788,0.7,0.0212,-0.012
21.058,0.6773,0.7,0.0227,-0.012
21.108,0.6763,0.7,0.0237,-0.014
21.158,0.6743,0.7,0.0257,-0.014
21.208,0.6732,0.7,0.0268,-0.02
21.258,0.6714,0.7,0.0286,-0.022
21.308,0.67,0.7,0.03,-0.028
21.358,0.6681,0.7,0.0319,-0.028
